,session_no,question_by,question_type,question_count
345,219Part1,Shri T.K. Rangarajan,STARRED,1
346,219Part1,Shri T.K. Rangarajan,UNSTARRED,18
347,219Part1,Shri Tapan Kumar Sen,STARRED,4
348,219Part1,Shri Tapan Kumar Sen,UNSTARRED,5
349,219Part1,Shri Tiruchi Siva,STARRED,2
350,219Part1,Shri Tiruchi Siva,UNSTARRED,1
351,219Part1,Shri V. Hanumantha Rao,STARRED,3
352,219Part1,Shri V. Hanumantha Rao,UNSTARRED,11
353,219Part1,Shri Vijay Jawaharlal Darda,STARRED,7
354,219Part1,Shri Vijay Jawaharlal Darda,UNSTARRED,26
355,219Part1,Smt. Kanimozhi,STARRED,2
356,219Part1,Smt. Kanimozhi,UNSTARRED,14
357,219Part1,Smt. Kusum Rai,STARRED,2
358,219Part1,Smt. Kusum Rai,UNSTARRED,13
359,219Part1,Smt. Mohsina Kidwai,STARRED,2
360,219Part1,Smt. Mohsina Kidwai,UNSTARRED,9
361,219Part1,Smt. Viplove Thakur,STARRED,3
362,219Part1,Smt. Viplove Thakur,UNSTARRED,32
363,219Part2,DR. BARUN MUKHERJI,UNSTARRED,2
364,219Part2,DR. GYAN PRAKASH PILANIA,STARRED,4
365,219Part2,DR. GYAN PRAKASH PILANIA,UNSTARRED,36
366,219Part2,DR. JANARDHAN WAGHMARE,STARRED,4
367,219Part2,DR. JANARDHAN WAGHMARE,UNSTARRED,30
368,219Part2,DR. K. MALAISAMY,STARRED,5
369,219Part2,DR. K. MALAISAMY,UNSTARRED,28
370,219Part2,DR. PRABHA THAKUR,STARRED,2
371,219Part2,DR. PRABHA THAKUR,UNSTARRED,10
372,219Part2,DR. RAM PRAKASH,STARRED,5
373,219Part2,DR. RAM PRAKASH,UNSTARRED,19
374,219Part2,DR. YOGENDRA P. TRIVEDI,STARRED,3
375,219Part2,DR. YOGENDRA P. TRIVEDI,UNSTARRED,23
376,219Part2,Dr. Anil Kumar Sahani,STARRED,6
377,219Part2,Dr. Anil Kumar Sahani,UNSTARRED,34
378,219Part2,Dr. E.M. Sudarsana Natchiappan,STARRED,3
379,219Part2,Dr. E.M. Sudarsana Natchiappan,UNSTARRED,12
380,219Part2,Dr. K.V.P. Ramachandra Rao,STARRED,1
381,219Part2,Dr. K.V.P. Ramachandra Rao,UNSTARRED,35
382,219Part2,Dr. T. Subbarami Reddy,STARRED,5
383,219Part2,Dr. T. Subbarami Reddy,UNSTARRED,34
384,219Part2,Dr. T.N. Seema,UNSTARRED,2
385,219Part2,MISS ANUSUIYA UIKEY,STARRED,1
386,219Part2,MISS ANUSUIYA UIKEY,UNSTARRED,20
387,219Part2,MISS MABEL REBELLO,STARRED,3
388,219Part2,MISS MABEL REBELLO,UNSTARRED,27
389,219Part2,MS. SUSHILA TIRIYA,STARRED,3
390,219Part2,MS. SUSHILA TIRIYA,UNSTARRED,22
